통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202203,서울특별시,종로구,지체,남자,1350
202203,서울특별시,종로구,청각,여자,431
202203,서울특별시,종로구,언어,남자,33
202203,서울특별시,종로구,언어,여자,14
202203,서울특별시,종로구,지적,남자,231
202203,서울특별시,종로구,지적,여자,169
202203,서울특별시,종로구,뇌병변,남자,336
202203,서울특별시,종로구,뇌병변,여자,211
202203,서울특별시,종로구,자폐성,남자,87
202203,서울특별시,종로구,자폐성,여자,18
202203,서울특별시,종로구,정신,남자,136
202203,서울특별시,종로구,정신,여자,128
202203,서울특별시,종로구,신장,남자,159
202203,서울특별시,종로구,지체,여자,1120
202203,서울특별시,종로구,신장,여자,105
202203,서울특별시,종로구,심장,남자,6
202203,서울특별시,종로구,심장,여자,7
202203,서울특별시,종로구,호흡기,남자,20
202203,서울특별시,종로구,시각,남자,440
202203,서울특별시,종로구,호흡기,여자,5
202203,서울특별시,종로구,간,남자,30
202203,서울특별시,종로구,간,여자,13
202203,서울특별시,종로구,안면,남자,4
202203,서울특별시,종로구,안면,여자,3
202203,서울특별시,종로구,장루.요루,남자,22
202203,서울특별시,종로구,장루.요루,여자,11
202203,서울특별시,종로구,뇌전증,남자,8
202203,서울특별시,종로구,뇌전증,여자,7
202203,서울특별시,종로구,시각,여자,260
202203,서울특별시,종로구,청각,남자,541
202203,서울특별시,중구,지체,남자,1347
202203,서울특별시,중구,청각,여자,390
202203,서울특별시,중구,언어,남자,22
202203,서울특별시,중구,언어,여자,9
202203,서울특별시,중구,지적,남자,177
202203,서울특별시,중구,지적,여자,119
202203,서울특별시,중구,뇌병변,남자,358
202203,서울특별시,중구,뇌병변,여자,195
202203,서울특별시,중구,자폐성,남자,58
202203,서울특별시,중구,자폐성,여자,17
202203,서울특별시,중구,정신,남자,122
202203,서울특별시,중구,정신,여자,85
202203,서울특별시,중구,신장,남자,127
202203,서울특별시,중구,신장,여자,103
202203,서울특별시,중구,지체,여자,1121
202203,서울특별시,중구,심장,남자,8
202203,서울특별시,중구,심장,여자,5
202203,서울특별시,중구,호흡기,남자,25
202203,서울특별시,중구,호흡기,여자,5
202203,서울특별시,중구,간,남자,31
202203,서울특별시,중구,시각,남자,427
202203,서울특별시,중구,간,여자,10
202203,서울특별시,중구,안면,남자,3
202203,서울특별시,중구,안면,여자,4
202203,서울특별시,중구,장루.요루,남자,30
202203,서울특별시,중구,장루.요루,여자,13
202203,서울특별시,중구,뇌전증,남자,12
202203,서울특별시,중구,뇌전증,여자,9
202203,서울특별시,중구,시각,여자,273
202203,서울특별시,중구,청각,남자,480
202203,서울특별시,용산구,청각,남자,629
202203,서울특별시,용산구,청각,여자,526
202203,서울특별시,용산구,언어,남자,48
202203,서울특별시,용산구,언어,여자,18
202203,서울특별시,용산구,지적,남자,327
202203,서울특별시,용산구,지체,남자,1763
202203,서울특별시,용산구,지적,여자,197
202203,서울특별시,용산구,뇌병변,남자,442
202203,서울특별시,용산구,뇌병변,여자,291
202203,서울특별시,용산구,지체,여자,1463
202203,서울특별시,용산구,자폐성,남자,107
202203,서울특별시,용산구,자폐성,여자,25
202203,서울특별시,용산구,정신,남자,147
202203,서울특별시,용산구,정신,여자,131
202203,서울특별시,용산구,신장,남자,219
202203,서울특별시,용산구,신장,여자,142
202203,서울특별시,용산구,심장,남자,12
202203,서울특별시,용산구,심장,여자,7
202203,서울특별시,용산구,호흡기,남자,37
202203,서울특별시,용산구,호흡기,여자,12
202203,서울특별시,용산구,간,남자,60
202203,서울특별시,용산구,간,여자,11
202203,서울특별시,용산구,안면,남자,4
202203,서울특별시,용산구,안면,여자,1
202203,서울특별시,용산구,장루.요루,남자,44
202203,서울특별시,용산구,장루.요루,여자,26
202203,서울특별시,용산구,시각,남자,559
202203,서울특별시,용산구,뇌전증,남자,13
202203,서울특별시,용산구,뇌전증,여자,7
202203,서울특별시,용산구,시각,여자,361
202203,서울특별시,성동구,청각,여자,784
202203,서울특별시,성동구,언어,남자,84
202203,서울특별시,성동구,언어,여자,22
202203,서울특별시,성동구,지적,남자,427
202203,서울특별시,성동구,지적,여자,269
202203,서울특별시,성동구,지체,남자,2813
202203,서울특별시,성동구,뇌병변,남자,683
202203,서울특별시,성동구,뇌병변,여자,447
202203,서울특별시,성동구,자폐성,남자,169
202203,서울특별시,성동구,자폐성,여자,31
202203,서울특별시,성동구,정신,남자,211
202203,서울특별시,성동구,정신,여자,192
202203,서울특별시,성동구,신장,남자,292
202203,서울특별시,성동구,신장,여자,196
202203,서울특별시,성동구,지체,여자,2210
202203,서울특별시,성동구,심장,남자,20
202203,서울특별시,성동구,심장,여자,11
202203,서울특별시,성동구,호흡기,남자,65
202203,서울특별시,성동구,호흡기,여자,19
202203,서울특별시,성동구,간,남자,51
202203,서울특별시,성동구,시각,남자,646
202203,서울특별시,성동구,간,여자,29
202203,서울특별시,성동구,안면,남자,8
202203,서울특별시,성동구,안면,여자,4
202203,서울특별시,성동구,장루.요루,남자,55
202203,서울특별시,성동구,장루.요루,여자,36
202203,서울특별시,성동구,뇌전증,남자,24
202203,서울특별시,성동구,뇌전증,여자,17
202203,서울특별시,성동구,시각,여자,474
202203,서울특별시,성동구,청각,남자,913
202203,서울특별시,광진구,청각,여자,769
202203,서울특별시,광진구,언어,남자,66
202203,서울특별시,광진구,언어,여자,28
202203,서울특별시,광진구,지적,남자,472
202203,서울특별시,광진구,지적,여자,333
202203,서울특별시,광진구,뇌병변,남자,668
202203,서울특별시,광진구,뇌병변,여자,502
202203,서울특별시,광진구,자폐성,남자,161
202203,서울특별시,광진구,자폐성,여자,29
202203,서울특별시,광진구,정신,남자,264
202203,서울특별시,광진구,정신,여자,266
202203,서울특별시,광진구,신장,남자,340
202203,서울특별시,광진구,신장,여자,246
202203,서울특별시,광진구,지체,여자,2380
202203,서울특별시,광진구,심장,남자,26
202203,서울특별시,광진구,심장,여자,10
202203,서울특별시,광진구,지체,남자,3006
202203,서울특별시,광진구,호흡기,남자,53
202203,서울특별시,광진구,호흡기,여자,9
