통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
201811,서울특별시,종로구,지체,남자,1482
201811,서울특별시,종로구,청각,여자,345
201811,서울특별시,종로구,언어,남자,32
201811,서울특별시,종로구,언어,여자,10
201811,서울특별시,종로구,지적,남자,223
201811,서울특별시,종로구,지적,여자,152
201811,서울특별시,종로구,뇌병변,남자,356
201811,서울특별시,종로구,뇌병변,여자,217
201811,서울특별시,종로구,자폐성,남자,89
201811,서울특별시,종로구,자폐성,여자,20
201811,서울특별시,종로구,정신,남자,151
201811,서울특별시,종로구,정신,여자,107
201811,서울특별시,종로구,신장,남자,150
201811,서울특별시,종로구,지체,여자,1268
201811,서울특별시,종로구,신장,여자,85
201811,서울특별시,종로구,심장,남자,8
201811,서울특별시,종로구,심장,여자,8
201811,서울특별시,종로구,호흡기,남자,19
201811,서울특별시,종로구,시각,남자,462
201811,서울특별시,종로구,호흡기,여자,5
201811,서울특별시,종로구,간,남자,31
201811,서울특별시,종로구,간,여자,11
201811,서울특별시,종로구,안면,남자,3
201811,서울특별시,종로구,안면,여자,3
201811,서울특별시,종로구,장루.요루,남자,21
201811,서울특별시,종로구,장루.요루,여자,13
201811,서울특별시,종로구,뇌전증,남자,7
201811,서울특별시,종로구,뇌전증,여자,10
201811,서울특별시,종로구,시각,여자,268
201811,서울특별시,종로구,청각,남자,453
201811,서울특별시,중구,지체,남자,1425
201811,서울특별시,중구,청각,여자,308
201811,서울특별시,중구,언어,남자,24
201811,서울특별시,중구,언어,여자,8
201811,서울특별시,중구,지적,남자,182
201811,서울특별시,중구,지적,여자,128
201811,서울특별시,중구,뇌병변,남자,362
201811,서울특별시,중구,뇌병변,여자,196
201811,서울특별시,중구,자폐성,남자,50
201811,서울특별시,중구,자폐성,여자,11
201811,서울특별시,중구,정신,남자,130
201811,서울특별시,중구,정신,여자,90
201811,서울특별시,중구,신장,남자,120
201811,서울특별시,중구,신장,여자,101
201811,서울특별시,중구,지체,여자,1228
201811,서울특별시,중구,심장,남자,9
201811,서울특별시,중구,심장,여자,3
201811,서울특별시,중구,호흡기,남자,21
201811,서울특별시,중구,호흡기,여자,3
201811,서울특별시,중구,간,남자,22
201811,서울특별시,중구,시각,남자,453
201811,서울특별시,중구,간,여자,8
201811,서울특별시,중구,안면,남자,2
201811,서울특별시,중구,안면,여자,4
201811,서울특별시,중구,장루.요루,남자,24
201811,서울특별시,중구,장루.요루,여자,13
201811,서울특별시,중구,뇌전증,남자,16
201811,서울특별시,중구,뇌전증,여자,9
201811,서울특별시,중구,시각,여자,278
201811,서울특별시,중구,청각,남자,414
201811,서울특별시,용산구,청각,남자,578
201811,서울특별시,용산구,청각,여자,486
201811,서울특별시,용산구,언어,남자,49
201811,서울특별시,용산구,언어,여자,20
201811,서울특별시,용산구,지적,남자,337
201811,서울특별시,용산구,지체,남자,1991
201811,서울특별시,용산구,지적,여자,189
201811,서울특별시,용산구,뇌병변,남자,501
201811,서울특별시,용산구,뇌병변,여자,330
201811,서울특별시,용산구,지체,여자,1679
201811,서울특별시,용산구,자폐성,남자,80
201811,서울특별시,용산구,자폐성,여자,21
201811,서울특별시,용산구,정신,남자,156
201811,서울특별시,용산구,정신,여자,137
201811,서울특별시,용산구,신장,남자,217
201811,서울특별시,용산구,신장,여자,126
201811,서울특별시,용산구,심장,남자,11
201811,서울특별시,용산구,심장,여자,7
201811,서울특별시,용산구,호흡기,남자,38
201811,서울특별시,용산구,호흡기,여자,9
201811,서울특별시,용산구,간,남자,48
201811,서울특별시,용산구,간,여자,14
201811,서울특별시,용산구,안면,남자,5
201811,서울특별시,용산구,안면,여자,2
201811,서울특별시,용산구,장루.요루,남자,43
201811,서울특별시,용산구,장루.요루,여자,18
201811,서울특별시,용산구,시각,남자,618
201811,서울특별시,용산구,뇌전증,남자,10
201811,서울특별시,용산구,뇌전증,여자,9
201811,서울특별시,용산구,시각,여자,384
201811,서울특별시,성동구,청각,여자,681
201811,서울특별시,성동구,언어,남자,83
201811,서울특별시,성동구,언어,여자,26
201811,서울특별시,성동구,지적,남자,428
201811,서울특별시,성동구,지적,여자,260
201811,서울특별시,성동구,지체,남자,3190
201811,서울특별시,성동구,뇌병변,남자,784
201811,서울특별시,성동구,뇌병변,여자,486
201811,서울특별시,성동구,자폐성,남자,138
201811,서울특별시,성동구,자폐성,여자,23
201811,서울특별시,성동구,정신,남자,249
201811,서울특별시,성동구,정신,여자,197
201811,서울특별시,성동구,신장,남자,261
201811,서울특별시,성동구,신장,여자,203
201811,서울특별시,성동구,지체,여자,2525
201811,서울특별시,성동구,심장,남자,28
201811,서울특별시,성동구,심장,여자,10
201811,서울특별시,성동구,호흡기,남자,75
201811,서울특별시,성동구,호흡기,여자,22
201811,서울특별시,성동구,간,남자,56
201811,서울특별시,성동구,시각,남자,709
201811,서울특별시,성동구,간,여자,23
201811,서울특별시,성동구,안면,남자,7
201811,서울특별시,성동구,안면,여자,7
201811,서울특별시,성동구,장루.요루,남자,59
201811,서울특별시,성동구,장루.요루,여자,31
201811,서울특별시,성동구,뇌전증,남자,26
201811,서울특별시,성동구,뇌전증,여자,16
201811,서울특별시,성동구,시각,여자,496
201811,서울특별시,성동구,청각,남자,778
201811,서울특별시,광진구,청각,여자,656
201811,서울특별시,광진구,언어,남자,76
201811,서울특별시,광진구,언어,여자,26
201811,서울특별시,광진구,지적,남자,474
