통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
201905,서울특별시,종로구,지체,남자,1456
201905,서울특별시,종로구,청각,여자,374
201905,서울특별시,종로구,언어,남자,31
201905,서울특별시,종로구,언어,여자,9
201905,서울특별시,종로구,지적,남자,227
201905,서울특별시,종로구,지적,여자,158
201905,서울특별시,종로구,뇌병변,남자,367
201905,서울특별시,종로구,뇌병변,여자,206
201905,서울특별시,종로구,자폐성,남자,92
201905,서울특별시,종로구,자폐성,여자,19
201905,서울특별시,종로구,정신,남자,155
201905,서울특별시,종로구,정신,여자,111
201905,서울특별시,종로구,신장,남자,147
201905,서울특별시,종로구,지체,여자,1248
201905,서울특별시,종로구,신장,여자,89
201905,서울특별시,종로구,심장,남자,7
201905,서울특별시,종로구,심장,여자,5
201905,서울특별시,종로구,호흡기,남자,18
201905,서울특별시,종로구,시각,남자,452
201905,서울특별시,종로구,호흡기,여자,4
201905,서울특별시,종로구,간,남자,34
201905,서울특별시,종로구,간,여자,12
201905,서울특별시,종로구,안면,남자,3
201905,서울특별시,종로구,안면,여자,3
201905,서울특별시,종로구,장루.요루,남자,22
201905,서울특별시,종로구,장루.요루,여자,13
201905,서울특별시,종로구,뇌전증,남자,10
201905,서울특별시,종로구,뇌전증,여자,10
201905,서울특별시,종로구,시각,여자,272
201905,서울특별시,종로구,청각,남자,484
201905,서울특별시,중구,지체,남자,1430
201905,서울특별시,중구,청각,여자,329
201905,서울특별시,중구,언어,남자,24
201905,서울특별시,중구,언어,여자,11
201905,서울특별시,중구,지적,남자,180
201905,서울특별시,중구,지적,여자,126
201905,서울특별시,중구,뇌병변,남자,359
201905,서울특별시,중구,뇌병변,여자,192
201905,서울특별시,중구,자폐성,남자,50
201905,서울특별시,중구,자폐성,여자,14
201905,서울특별시,중구,정신,남자,131
201905,서울특별시,중구,정신,여자,90
201905,서울특별시,중구,신장,남자,124
201905,서울특별시,중구,신장,여자,97
201905,서울특별시,중구,지체,여자,1220
201905,서울특별시,중구,심장,남자,9
201905,서울특별시,중구,심장,여자,4
201905,서울특별시,중구,호흡기,남자,22
201905,서울특별시,중구,호흡기,여자,4
201905,서울특별시,중구,간,남자,25
201905,서울특별시,중구,시각,남자,445
201905,서울특별시,중구,간,여자,8
201905,서울특별시,중구,안면,남자,2
201905,서울특별시,중구,안면,여자,3
201905,서울특별시,중구,장루.요루,남자,25
201905,서울특별시,중구,장루.요루,여자,12
201905,서울특별시,중구,뇌전증,남자,14
201905,서울특별시,중구,뇌전증,여자,9
201905,서울특별시,중구,시각,여자,272
201905,서울특별시,중구,청각,남자,436
201905,서울특별시,용산구,청각,남자,604
201905,서울특별시,용산구,청각,여자,504
201905,서울특별시,용산구,언어,남자,46
201905,서울특별시,용산구,언어,여자,20
201905,서울특별시,용산구,지적,남자,333
201905,서울특별시,용산구,지체,남자,1965
201905,서울특별시,용산구,지적,여자,197
201905,서울특별시,용산구,뇌병변,남자,489
201905,서울특별시,용산구,뇌병변,여자,325
201905,서울특별시,용산구,지체,여자,1648
201905,서울특별시,용산구,자폐성,남자,85
201905,서울특별시,용산구,자폐성,여자,21
201905,서울특별시,용산구,정신,남자,157
201905,서울특별시,용산구,정신,여자,139
201905,서울특별시,용산구,신장,남자,214
201905,서울특별시,용산구,신장,여자,128
201905,서울특별시,용산구,심장,남자,13
201905,서울특별시,용산구,심장,여자,8
201905,서울특별시,용산구,호흡기,남자,35
201905,서울특별시,용산구,호흡기,여자,9
201905,서울특별시,용산구,간,남자,49
201905,서울특별시,용산구,간,여자,14
201905,서울특별시,용산구,안면,남자,5
201905,서울특별시,용산구,안면,여자,1
201905,서울특별시,용산구,장루.요루,남자,40
201905,서울특별시,용산구,장루.요루,여자,21
201905,서울특별시,용산구,시각,남자,608
201905,서울특별시,용산구,뇌전증,남자,9
201905,서울특별시,용산구,뇌전증,여자,9
201905,서울특별시,용산구,시각,여자,383
201905,서울특별시,성동구,청각,여자,706
201905,서울특별시,성동구,언어,남자,77
201905,서울특별시,성동구,언어,여자,25
201905,서울특별시,성동구,지적,남자,435
201905,서울특별시,성동구,지적,여자,267
201905,서울특별시,성동구,지체,남자,3130
201905,서울특별시,성동구,뇌병변,남자,785
201905,서울특별시,성동구,뇌병변,여자,491
201905,서울특별시,성동구,자폐성,남자,143
201905,서울특별시,성동구,자폐성,여자,24
201905,서울특별시,성동구,정신,남자,248
201905,서울특별시,성동구,정신,여자,201
201905,서울특별시,성동구,신장,남자,265
201905,서울특별시,성동구,신장,여자,201
201905,서울특별시,성동구,지체,여자,2445
201905,서울특별시,성동구,심장,남자,27
201905,서울특별시,성동구,심장,여자,12
201905,서울특별시,성동구,호흡기,남자,69
201905,서울특별시,성동구,호흡기,여자,21
201905,서울특별시,성동구,간,남자,57
201905,서울특별시,성동구,시각,남자,693
201905,서울특별시,성동구,간,여자,23
201905,서울특별시,성동구,안면,남자,7
201905,서울특별시,성동구,안면,여자,7
201905,서울특별시,성동구,장루.요루,남자,54
201905,서울특별시,성동구,장루.요루,여자,30
201905,서울특별시,성동구,뇌전증,남자,24
201905,서울특별시,성동구,뇌전증,여자,14
201905,서울특별시,성동구,시각,여자,491
201905,서울특별시,성동구,청각,남자,816
201905,서울특별시,광진구,청각,여자,705
201905,서울특별시,광진구,언어,남자,75
201905,서울특별시,광진구,언어,여자,24
201905,서울특별시,광진구,지적,남자,480
201905,서울특별시,광진구,지적,여자,325
201905,서울특별시,광진구,뇌병변,남자,727
201905,서울특별시,광진구,뇌병변,여자,530
201905,서울특별시,광진구,자폐성,남자,137
201905,서울특별시,광진구,자폐성,여자,23
201905,서울특별시,광진구,정신,남자,272
201905,서울특별시,광진구,정신,여자,249
201905,서울특별시,광진구,신장,남자,323
201905,서울특별시,광진구,신장,여자,256
201905,서울특별시,광진구,지체,여자,2542
201905,서울특별시,광진구,심장,남자,25
201905,서울특별시,광진구,심장,여자,10
201905,서울특별시,광진구,지체,남자,3343
201905,서울특별시,광진구,호흡기,남자,51
201905,서울특별시,광진구,호흡기,여자,14
201905,서울특별시,광진구,간,남자,53
201905,서울특별시,광진구,간,여자,18
201905,서울특별시,광진구,시각,남자,834
201905,서울특별시,광진구,안면,남자,5
201905,서울특별시,광진구,안면,여자,4
201905,서울특별시,광진구,장루.요루,남자,79
201905,서울특별시,광진구,장루.요루,여자,26
201905,서울특별시,광진구,뇌전증,남자,29
201905,서울특별시,광진구,뇌전증,여자,20
201905,서울특별시,광진구,시각,여자,505
201905,서울특별시,광진구,청각,남자,894
201905,서울특별시,동대문구,청각,여자,933
201905,서울특별시,동대문구,언어,남자,91
201905,서울특별시,동대문구,언어,여자,27
201905,서울특별시,동대문구,지적,남자,563
201905,서울특별시,동대문구,지적,여자,315
201905,서울특별시,동대문구,뇌병변,남자,984
